NU_INSCRICAO,Q001,Q002,Q005,Q006,Q007
210057604640,E,C,2,B,A
210055626249,E,E,2,D,B
210057840262,C,B,3,C,A
210054648090,E,E,3,D,A
210056527140,E,E,2,D,A
210055523637,B,B,2,C,A
210054849180,A,B,4,B,A
210055519718,B,D,1,C,A
210054517911,C,C,4,G,A
210054691162,B,B,4,D,A
210057767597,D,D,3,E,A
210056469631,E,H,3,B,A
210056216183,C,E,5,B,A
210055400532,B,C,2,B,A
210055596233,B,D,2,D,A
210057114290,C,C,4,B,A
210054550101,D,H,4,C,A
210055731429,E,C,2,B,A
210057841246,C,E,3,B,A
210055423960,E,E,5,C,A
210055757097,C,C,4,D,A
210055803183,A,B,5,A,A
210055307324,G,G,5,Q,D
210054562126,A,C,5,B,A
210057650515,B,B,4,K,A
210056911660,B,D,4,A,A
210057822322,C,D,2,A,A
210055373146,E,C,2,B,A
210056927875,C,F,4,C,A
210055292688,H,D,1,B,A
210057381433,H,A,4,G,A
210057084986,G,E,3,D,A
210056243905,B,C,7,B,A
210057934327,H,H,5,C,A
210055707931,E,G,5,H,A
210056241198,D,H,4,C,A
210055763582,E,B,4,F,A
210056429788,B,B,4,B,A
210055734040,E,B,4,A,A
210056706432,D,G,3,D,A
210057389123,B,B,3,B,A
210056249516,E,E,4,B,A
210055650185,E,E,3,D,A
210055576263,D,G,4,G,A
210057575509,C,E,2,B,A
210056589625,E,E,2,D,A
210056486774,E,B,4,C,A
210055615338,B,E,4,C,A
210056536086,C,D,5,B,A
210057377593,D,G,4,B,A
210055621609,D,E,2,D,A
210055776151,E,E,5,D,A
210054562675,D,E,5,E,A
210056635477,B,E,7,B,A
210056863762,E,E,5,G,A
210054839207,E,D,3,C,A
210055671673,C,E,6,C,A
210057044248,C,C,4,E,A
210057399152,B,E,4,B,A
210056578797,C,D,5,D,A
210054557557,E,C,5,B,A
210057840430,H,D,4,B,A
210054564119,E,E,3,B,A
210056585839,B,E,4,B,A
210056887389,E,D,2,B,A
210057751066,C,C,3,C,A
210055500271,B,B,3,G,A
210057842104,E,E,4,E,A
210057723128,B,B,2,B,A
210057565137,C,E,3,C,A
210055542379,E,F,3,F,A
210055544657,E,E,4,B,A
210055751729,B,C,4,G,A
210054562296,C,G,2,C,A
210057573232,C,D,3,B,A
210056644065,C,E,4,B,A
210057051292,C,C,4,B,A
210055702704,E,E,2,C,A
210057597991,B,C,2,B,A
210055608246,E,C,2,G,A
210056507769,E,E,3,B,A
210057222283,E,E,5,D,A
210057392158,D,F,3,E,A
210055702428,E,D,4,D,A
210056587661,D,G,3,G,A
210056347804,D,E,6,G,A
210057838525,B,C,3,D,A
210057088156,B,B,3,A,A
210055515190,F,G,3,G,A
210056515638,D,C,3,C,A
210057890471,H,A,4,B,B
210055648184,B,B,4,B,A
210055441753,G,G,3,P,B
210056243591,E,D,5,C,A
210055693833,B,C,3,B,A
210056241025,E,E,9,B,A
210057817401,C,C,5,B,A
210054524213,F,B,3,C,A
210056249076,E,E,3,B,A
210055647789,D,C,2,D,A
210055633321,H,G,4,F,A
210055676806,D,E,3,E,A
210055105799,E,E,4,C,A
210057549533,B,E,3,C,A
210055786574,D,E,4,C,A
210054564880,H,H,1,A,A
210056483480,E,F,3,C,A
210056722813,E,A,4,B,A
210055430026,B,B,3,A,A
210054557216,H,E,5,B,A
210055699133,B,B,4,B,A
210056592581,D,E,3,B,A
210055690432,C,C,5,C,A
210054819257,C,C,3,B,A
210056954587,B,E,2,C,A
210055545525,B,B,4,D,A
210056867767,B,B,3,B,A
210057548247,D,C,3,B,A
210055781564,E,D,2,B,A
210056873565,C,C,4,C,A
210055629531,B,B,4,B,A
210057118063,E,G,3,D,A
210055469224,E,D,2,B,A
210056706197,D,C,4,F,A
210055611145,E,E,2,B,A
210055711799,H,H,3,B,A
210055211155,A,A,3,B,A
210055633195,C,C,4,D,A
210054799664,B,A,4,C,A
210055696169,E,E,3,C,A
210056247644,F,F,4,E,A
210055753756,C,C,3,E,A
210057134622,B,B,2,E,A
210055682825,H,B,4,D,A
210056236031,C,E,2,B,A
210057774778,E,D,3,C,A
210056916386,E,D,2,D,A
210055749430,A,B,2,A,A
210055630473,C,C,3,B,A
